datetime,ticker,price,signal,pnl
2023-01-30-05:25,AAPL,143.8,-1,-0.0
2023-01-30-05:30,AAPL,143.84,-1,-0.04
2023-01-30-05:35,AAPL,143.88,-1,-0.04
2023-01-30-05:40,AAPL,143.94,-1,-0.06
2023-01-30-05:45,AAPL,143.81,-1,0.13
2023-01-30-05:50,AAPL,143.87,-1,-0.06
2023-01-30-05:55,AAPL,143.78,-1,0.09
2023-01-30-06:00,AAPL,143.78,-1,-0.0
2023-01-30-06:05,AAPL,143.85,-1,-0.07
2023-01-30-06:10,AAPL,143.83,-1,0.02
2023-01-30-06:15,AAPL,143.72,-1,0.11
2023-01-30-06:20,AAPL,143.82,-1,-0.1
2023-01-30-06:25,AAPL,143.64,-1,0.18
2023-01-30-06:30,AAPL,143.59,-1,0.05
2023-01-30-06:35,AAPL,143.48,-1,0.11
2023-01-30-06:40,AAPL,143.45,-1,0.03
2023-01-30-06:45,AAPL,143.66,-1,-0.21
2023-01-30-06:50,AAPL,143.84,-1,-0.18
2023-01-30-06:55,AAPL,143.67,-1,0.17
2023-01-30-07:00,AAPL,143.71,-1,-0.04
2023-01-30-07:05,AAPL,144.18,-1,-0.47
2023-01-30-07:10,AAPL,144.13,1,0.05
2023-01-30-07:15,AAPL,144.17,1,0.04
2023-01-30-07:20,AAPL,144.16,1,-0.01
2023-01-30-07:25,AAPL,144.11,1,-0.05
2023-01-30-07:30,AAPL,144.21,1,0.1
2023-01-30-07:35,AAPL,144.1,1,-0.11
2023-01-30-07:40,AAPL,144.1,1,0.0
2023-01-30-07:45,AAPL,144.34,1,0.24
2023-01-30-07:50,AAPL,144.52,1,0.18
2023-01-30-07:55,AAPL,144.44,1,-0.08
2023-01-30-08:00,AAPL,144.58,1,0.14
2023-01-30-08:05,AAPL,144.43,1,-0.15
2023-01-30-08:10,AAPL,144.72,1,0.29
2023-01-30-08:15,AAPL,144.83,1,0.11
2023-01-30-08:20,AAPL,144.8,1,-0.03
2023-01-30-08:25,AAPL,144.82,1,0.02
2023-01-30-08:30,AAPL,144.85,1,0.03
2023-01-30-08:35,AAPL,144.68,1,-0.17
2023-01-30-08:40,AAPL,144.55,1,-0.13
2023-01-30-08:45,AAPL,144.57,1,0.02
2023-01-30-08:50,AAPL,144.61,1,0.04
2023-01-30-08:55,AAPL,144.71,1,0.1
2023-01-30-09:00,AAPL,144.64,1,-0.07
2023-01-30-09:05,AAPL,144.55,1,-0.09
2023-01-30-09:10,AAPL,144.63,1,0.08
2023-01-30-09:15,AAPL,144.57,1,-0.06
2023-01-30-09:20,AAPL,144.54,1,-0.03
2023-01-30-09:25,AAPL,144.53,1,-0.01
2023-01-30-09:30,AAPL,144.78,1,0.25
2023-01-30-09:35,AAPL,144.42,1,-0.36
2023-01-30-09:40,AAPL,144.76,1,0.34
2023-01-30-09:45,AAPL,144.5,1,-0.26
2023-01-30-09:50,AAPL,144.71,1,0.2
2023-01-30-09:55,AAPL,144.06,1,-0.64
2023-01-30-10:00,AAPL,144.96,1,0.9
2023-01-30-10:05,AAPL,145.02,1,0.05
2023-01-30-10:10,AAPL,144.68,1,-0.34
2023-01-30-10:15,AAPL,144.38,1,-0.3
